dt,board,state,action,price,nav,expressed,bull,bear,mixed,bull_frac,trigger,gaps
2026-01-05 09:30:00+08:00,short,L,buy,3986.972,1.0,7,7,0,0,1.0,True,0
2026-01-05 10:00:00+08:00,short,L,hold,3995.023,1.002019,7,7,0,0,1.0,True,0
2026-01-05 10:30:00+08:00,short,L,hold,4006.483,1.004894,8,8,0,0,1.0,True,0
2026-01-05 11:00:00+08:00,short,L,hold,4005.239,1.004582,8,8,0,0,1.0,True,0
2026-01-05 11:30:00+08:00,short,L,hold,4011.448,1.006139,8,8,0,0,1.0,True,0
2026-01-05 13:00:00+08:00,short,L,hold,4011.839,1.006237,8,8,0,0,1.0,True,0
2026-01-05 13:30:00+08:00,short,L,hold,4010.588,1.005923,8,8,0,0,1.0,True,0
2026-01-05 14:00:00+08:00,short,L,hold,4018.749,1.00797,8,8,0,0,1.0,True,0
2026-01-05 14:30:00+08:00,short,L,hold,4022.828,1.008993,8,8,0,0,1.0,True,0
2026-01-05 15:00:00+08:00,short,L,hold,4023.417,1.009141,8,8,0,0,1.0,True,0
2026-01-06 09:30:00+08:00,short,L,hold,4026.016,1.009793,10,7,3,0,0.7,True,0
2026-01-06 10:00:00+08:00,short,F,sell,4050.028,1.015816,10,6,4,0,0.6,False,0
2026-01-06 10:30:00+08:00,short,F,hold,4058.408,1.015816,10,6,4,0,0.6,False,0
2026-01-06 11:00:00+08:00,short,F,hold,4060.867,1.015816,10,6,4,0,0.6,False,0
2026-01-06 11:30:00+08:00,short,F,hold,4069.376,1.015816,10,6,4,0,0.6,False,0
2026-01-06 13:00:00+08:00,short,F,hold,4069.773,1.015816,10,6,4,0,0.6,False,0
2026-01-06 13:30:00+08:00,short,F,hold,4070.639,1.015816,10,6,4,0,0.6,False,0
2026-01-06 14:00:00+08:00,short,F,hold,4065.411,1.015816,10,6,4,0,0.6,False,0
2026-01-06 14:30:00+08:00,short,F,hold,4079.267,1.015816,10,6,4,0,0.6,False,0
2026-01-06 15:00:00+08:00,short,F,hold,4083.667,1.015816,10,6,4,0,0.6,False,0
2026-01-07 09:30:00+08:00,short,F,hold,4083.843,1.015816,9,6,3,0,0.6667,False,0
2026-01-07 10:00:00+08:00,short,F,hold,4089.48,1.015816,9,6,3,0,0.6667,False,0
2026-01-07 10:30:00+08:00,short,F,hold,4082.921,1.015816,9,6,3,0,0.6667,False,0
2026-01-07 11:00:00+08:00,short,F,hold,4088.37,1.015816,9,6,3,0,0.6667,False,0
2026-01-07 11:30:00+08:00,short,F,hold,4095.544,1.015816,9,6,3,0,0.6667,False,0
2026-01-07 13:00:00+08:00,short,F,hold,4096.253,1.015816,9,5,4,0,0.5556,False,0
2026-01-07 13:30:00+08:00,short,F,hold,4078.835,1.015816,9,5,4,0,0.5556,False,0
2026-01-07 14:00:00+08:00,short,F,hold,4080.198,1.015816,9,5,4,0,0.5556,False,0
2026-01-07 14:30:00+08:00,short,F,hold,4084.895,1.015816,9,4,5,0,0.4444,False,0
2026-01-07 15:00:00+08:00,short,F,hold,4085.772,1.015816,9,4,5,0,0.4444,False,0
2026-01-08 09:30:00+08:00,short,F,hold,4077.715,1.015816,9,3,6,0,0.3333,False,0
2026-01-08 10:00:00+08:00,short,F,hold,4085.187,1.015816,9,3,6,0,0.3333,False,0
2026-01-08 10:30:00+08:00,short,F,hold,4083.333,1.015816,9,3,6,0,0.3333,False,0
2026-01-08 11:00:00+08:00,short,F,hold,4093.5,1.015816,9,3,6,0,0.3333,False,0
2026-01-08 11:30:00+08:00,short,F,hold,4089.449,1.015816,9,3,6,0,0.3333,False,0
2026-01-08 13:00:00+08:00,short,F,hold,4089.8,1.015816,10,4,6,0,0.4,False,0
2026-01-08 13:30:00+08:00,short,F,hold,4089.798,1.015816,10,4,6,0,0.4,False,0
2026-01-08 14:00:00+08:00,short,F,hold,4086.936,1.015816,10,4,6,0,0.4,False,0
2026-01-08 14:30:00+08:00,short,F,hold,4078.59,1.015816,10,4,6,0,0.4,False,0
2026-01-08 15:00:00+08:00,short,F,hold,4082.979,1.015816,10,4,6,0,0.4,False,0
2026-01-09 09:30:00+08:00,short,F,hold,4086.762,1.015816,9,5,4,0,0.5556,False,0
2026-01-09 10:00:00+08:00,short,F,hold,4104.841,1.015816,9,5,4,0,0.5556,False,0
2026-01-09 10:30:00+08:00,short,F,hold,4111.935,1.015816,9,5,4,0,0.5556,False,0
2026-01-09 11:00:00+08:00,short,F,hold,4114.198,1.015816,9,5,4,0,0.5556,False,0
2026-01-09 11:30:00+08:00,short,F,hold,4095.329,1.015816,9,5,4,0,0.5556,False,0
2026-01-09 13:00:00+08:00,short,F,hold,4095.581,1.015816,10,5,5,0,0.5,False,0
2026-01-09 13:30:00+08:00,short,F,hold,4106.681,1.015816,10,5,5,0,0.5,False,0
2026-01-09 14:00:00+08:00,short,F,hold,4109.512,1.015816,10,5,5,0,0.5,False,0
2026-01-09 14:30:00+08:00,short,F,hold,4113.294,1.015816,10,5,5,0,0.5,False,0
2026-01-09 15:00:00+08:00,short,F,hold,4120.426,1.015816,10,5,5,0,0.5,False,0
2026-01-12 09:30:00+08:00,short,L,buy,4134.893,1.015816,5,4,1,0,0.8,True,0
2026-01-12 10:00:00+08:00,short,L,hold,4130.45,1.014724,5,4,1,0,0.8,True,0
2026-01-12 10:30:00+08:00,short,L,hold,4128.915,1.014347,5,4,1,0,0.8,True,0
2026-01-12 11:00:00+08:00,short,L,hold,4136.1,1.016112,5,4,1,0,0.8,True,0
2026-01-12 11:30:00+08:00,short,L,hold,4151.135,1.019806,5,4,1,0,0.8,True,0
2026-01-12 13:00:00+08:00,short,L,hold,4151.525,1.019901,6,5,1,0,0.8333,True,0
2026-01-12 13:30:00+08:00,short,L,hold,4155.467,1.02087,6,5,1,0,0.8333,True,0
2026-01-12 14:00:00+08:00,short,L,hold,4159.78,1.021929,6,5,1,0,0.8333,True,0
2026-01-12 14:30:00+08:00,short,L,hold,4167.644,1.023861,6,5,1,0,0.8333,True,0
2026-01-12 15:00:00+08:00,short,L,hold,4165.287,1.023282,6,5,1,0,0.8333,True,0
2026-01-13 09:30:00+08:00,short,F,sell,4169.704,1.024367,10,6,4,0,0.6,False,0
2026-01-13 10:00:00+08:00,short,F,hold,4167.197,1.024367,11,7,4,0,0.6364,False,0
2026-01-13 10:30:00+08:00,short,F,hold,4164.114,1.024367,11,7,4,0,0.6364,False,0
2026-01-13 11:00:00+08:00,short,F,hold,4164.898,1.024367,11,7,4,0,0.6364,False,0
2026-01-13 11:30:00+08:00,short,F,hold,4163.843,1.024367,11,7,4,0,0.6364,False,0
2026-01-13 13:00:00+08:00,short,L,buy,4164.27,1.024367,11,8,3,0,0.7273,True,0
2026-01-13 13:30:00+08:00,short,L,hold,4150.973,1.021097,11,8,3,0,0.7273,True,0
2026-01-13 14:00:00+08:00,short,L,hold,4163.975,1.024295,11,8,3,0,0.7273,True,0
2026-01-13 14:30:00+08:00,short,L,hold,4144.342,1.019465,11,8,3,0,0.7273,True,0
2026-01-13 15:00:00+08:00,short,L,hold,4138.758,1.018092,11,8,3,0,0.7273,True,0
