side,entry_dt,entry_px,exit_dt,exit_px
L,2026-04-08 09:30:00+08:00,3930.251,2026-04-08 10:30:00+08:00,3951.325
L,2026-04-08 13:00:00+08:00,3965.296,2026-04-09 09:30:00+08:00,3967.63
L,2026-04-10 09:30:00+08:00,3985.464,2026-04-13 09:30:00+08:00,3971.199
L,2026-04-14 09:30:00+08:00,4006.727,2026-04-15 13:00:00+08:00,4041.568
L,2026-04-15 15:00:00+08:00,4027.209,2026-04-16 09:30:00+08:00,4030.138
L,2026-04-24 09:30:00+08:00,4081.033,2026-04-27 13:00:00+08:00,4086.543
S,2026-04-28 09:30:00+08:00,4076.143,2026-04-28 13:00:00+08:00,4083.585
L,2026-04-30 09:30:00+08:00,4107.297,2026-05-08 09:30:00+08:00,4163.854
L,2026-05-12 09:30:00+08:00,4229.283,2026-05-14 09:30:00+08:00,4256.157
L,2026-05-18 15:00:00+08:00,4131.528,2026-05-26 09:30:00+08:00,4137.32
S,2026-05-29 09:30:00+08:00,4110.521,2026-06-01 09:30:00+08:00,4067.158
L,2026-06-01 09:30:00+08:00,4067.158,2026-06-02 09:30:00+08:00,4061.463
L,2026-06-03 09:30:00+08:00,4068.341,2026-06-04 09:30:00+08:00,4053.67
S,2026-06-04 09:30:00+08:00,4053.67,2026-06-04 10:00:00+08:00,4078.944
S,2026-06-08 09:30:00+08:00,3938.709,2026-06-08 13:00:00+08:00,3977.24
L,2026-06-09 09:30:00+08:00,3977.539,2026-06-10 09:30:00+08:00,3985.124
S,2026-06-10 09:30:00+08:00,3985.124,2026-06-10 14:30:00+08:00,3990.146
L,2026-06-12 09:30:00+08:00,4017.865,2026-06-15 13:00:00+08:00,4068.644
S,2026-06-17 09:30:00+08:00,4074.291,2026-06-18 09:30:00+08:00,4094.23
L,2026-06-22 13:00:00+08:00,4098.767,2026-06-23 13:00:00+08:00,4146.953
L,2026-06-24 09:30:00+08:00,4090.1,2026-06-25 09:30:00+08:00,4104.174
S,2026-06-29 10:00:00+08:00,4023.136,2026-06-29 15:00:00+08:00,4073.902
L,2026-06-30 13:00:00+08:00,4082.779,2026-07-02 09:30:00+08:00,4054.086
L,2026-07-03 09:30:00+08:00,4031.335,2026-07-06 09:30:00+08:00,4059.194
L,2026-07-06 13:00:00+08:00,4047.559,2026-07-07 09:30:00+08:00,4019.494
L,2026-07-08 13:00:00+08:00,4008.487,2026-07-09 09:30:00+08:00,3977.547
L,2026-07-14 09:30:00+08:00,3909.274,2026-07-15 09:30:00+08:00,3963.727
S,2026-07-16 09:30:00+08:00,3912.381,2026-07-17 09:30:00+08:00,3865.316
L,2026-07-17 09:30:00+08:00,3865.316,2026-07-17 13:00:00+08:00,3818.067
L,2026-07-20 09:30:00+08:00,3791.662,2026-07-21 15:00:00+08:00,3864.367
S,2026-07-24 09:30:00+08:00,3853.632,2026-07-27 09:30:00+08:00,3808.903
L,2026-07-29 09:30:00+08:00,3823.293,2026-07-30 09:30:00+08:00,3812.111
L,2026-07-31 09:30:00+08:00,3833.536,2026-08-03 09:30:00+08:00,3812.613
L,2026-08-04 09:30:00+08:00,3816.37,2026-08-05 15:00:00+08:00,3878.43
S,2026-08-05 15:00:00+08:00,3878.43,2026-08-06 09:30:00+08:00,3864.273
L,2026-08-06 09:30:00+08:00,3864.273,2026-08-06 13:00:00+08:00,3879.266
L,2026-08-07 09:30:00+08:00,3896.485,2026-08-10 09:30:00+08:00,3943.816
S,2026-08-12 09:30:00+08:00,3933.553,2026-08-12 15:00:00+08:00,3946.675
S,2026-08-14 09:30:00+08:00,3930.021,2026-08-17 09:30:00+08:00,3930.104
S,2026-08-19 11:00:00+08:00,3923.139,2026-08-20 09:30:00+08:00,3907.206
L,2026-08-20 09:30:00+08:00,3907.206,2026-08-21 09:30:00+08:00,3891.175
L,2026-08-25 09:30:00+08:00,3863.369,2026-08-25 11:00:00+08:00,3866.054
L,2026-08-26 09:30:00+08:00,3881.741,2026-08-27 09:30:00+08:00,3911.891
